County,Cases,Cases Per 10000 Residents,Deaths
New Hanover,1560,67,8
Surry,592,82,3
Robeson,1708,130,43
Person,134,34,1
Alamance,1492,90,37
Union,1909,81,27
Wilson,980,120,26
Lincoln,450,54,2
Clay,16,14,0
Lenoir,432,77,11
McDowell,332,73,2
Davidson,1277,77,16
Stanly,585,94,5
Lee,947,154,8
Chatham,1067,146,46
Martin,172,76,6
Tyrrell,58,140,1
Greene,237,113,3
Cumberland,1686,51,43
Washington,54,46,3
Camden,39,36,1
Mitchell,57,38,1
Wake,7737,71,76
Chowan,39,28,0
Sampson,1217,191,7
Cleveland,544,56,9
Beaufort,157,33,0
Vance,589,132,40
Davie,256,60,3
Pender,415,67,2
Watauga,137,24,0
Graham,10,12,0
Montgomery,408,150,9
Caldwell,663,81,6
Brunswick,832,61,10
Duplin,1696,288,33
Hyde,31,59,0
Pamlico,40,32,1
Buncombe,928,36,40
Caswell,156,69,2
Ashe,65,24,1
Mecklenburg,15680,143,163
Jones,39,40,3
Northampton,200,102,16
Transylvania,58,17,1
Polk,101,49,4
Catawba,1290,81,14
Johnston,2150,106,35
Gates,30,26,2
Avery,31,18,0
Anson,214,86,1
Columbus,646,116,39
Haywood,138,22,0
Orange,1003,69,43
Cabarrus,1721,81,33
Richmond,373,83,7
Moore,646,65,14
Harnett,804,60,32
Jackson,220,51,1
Guilford,3760,70,128
Iredell,1173,66,10
Forsyth,3785,100,40
Currituck,32,12,0
Rutherford,415,62,10
Warren,192,97,6
Bertie,157,83,4
Pitt,978,54,6
Randolph,1543,108,33
Stokes,170,37,1
Henderson,973,83,51
Gaston,1946,87,15
Cherokee,88,31,2
Pasquotank,255,64,17
Macon,333,94,1
Perquimans,38,28,2
Rockingham,310,34,2
Wayne,2021,164,32
Scotland,174,50,2
Franklin,518,77,22
Hoke,480,88,4
Hertford,181,77,11
Alexander,183,49,1
Edgecombe,402,77,9
Craven,470,46,8
Durham,4655,147,71
Granville,954,159,25
Alleghany,43,39,0
Rowan,1547,110,43
Swain,70,49,1
Yadkin,389,104,5
Halifax,430,85,4
Madison,18,8,0
Burke,1238,137,21
Yancey,61,34,0
Onslow,436,22,3
Wilkes,632,92,7
Dare,121,33,1
Nash,666,71,6
Carteret,144,21,3
Bladen,455,137,5