nc_county,county_seat
"Alamance County, North Carolina",Graham
"Alexander County, North Carolina",Taylorsville
"Alleghany County, North Carolina",Sparta
"Anson County, North Carolina",Wadesboro
"Ashe County, North Carolina",Jefferson
"Avery County, North Carolina",Newland
"Beaufort County, North Carolina",Washington
"Bertie County, North Carolina",Windsor
"Bladen County, North Carolina",Elizabethtown
"Brunswick County, North Carolina",Bolivia
"Buncombe County, North Carolina",Asheville
"Burke County, North Carolina",Morganton
"Cabarrus County, North Carolina",Concord
"Caldwell County, North Carolina",Lenoir
"Camden County, North Carolina",Camden
"Carteret County, North Carolina",Beaufort
"Caswell County, North Carolina",Yanceyville
"Catawba County, North Carolina",Newton
"Chatham County, North Carolina",Pittsboro
"Cherokee County, North Carolina",Murphy
"Chowan County, North Carolina",Edenton
"Clay County, North Carolina",Hayesville
"Cleveland County, North Carolina",Shelby
"Columbus County, North Carolina",Whiteville
"Craven County, North Carolina",New Bern
"Cumberland County, North Carolina",Fayetteville
"Currituck County, North Carolina",Currituck
"Dare County, North Carolina",Manteo
"Davidson County, North Carolina",Lexington
"Davie County, North Carolina",Mocksville
"Duplin County, North Carolina",Kenansville
"Durham County, North Carolina",Durham
"Edgecombe County, North Carolina",Tarboro
"Forsyth County, North Carolina",Winston-Salem
"Franklin County, North Carolina",Louisburg
"Gaston County, North Carolina",Gastonia
"Gates County, North Carolina",Gatesville
"Graham County, North Carolina",Robbinsville
"Granville County, North Carolina",Oxford
"Greene County, North Carolina",Snow Hill
"Guilford County, North Carolina",Greensboro
"Halifax County, North Carolina",Halifax
"Harnett County, North Carolina",Lillington
"Haywood County, North Carolina",Waynesville
"Henderson County, North Carolina",Hendersonville
"Hertford County, North Carolina",Winton
"Hoke County, North Carolina",Raeford
"Hyde County, North Carolina",Swan Quarter
"Iredell County, North Carolina",Statesville
"Jackson County, North Carolina",Sylva
"Johnston County, North Carolina",Smithfield
"Jones County, North Carolina",Trenton
"Lee County, North Carolina",Sanford
"Lenoir County, North Carolina",Kinston
"Lincoln County, North Carolina",Lincolnton
"Macon County, North Carolina",Franklin
"Madison County, North Carolina",Marshall
"Martin County, North Carolina",Williamston
"McDowell County, North Carolina",Marion
"Mecklenburg County, North Carolina",Charlotte
"Mitchell County, North Carolina",Bakersville
"Montgomery County, North Carolina",Troy
"Moore County, North Carolina",Carthage
"Nash County, North Carolina",Nashville
"New Hanover County, North Carolina",Wilmington
"Northampton County, North Carolina",Jackson
"Onslow County, North Carolina",Jacksonville
"Orange County, North Carolina",Hillsborough
"Pamlico County, North Carolina",Bayboro
"Pasquotank County, North Carolina",Elizabeth City
"Pender County, North Carolina",Burgaw
"Perquimans County, North Carolina",Hertford
"Person County, North Carolina",Roxboro
"Pitt County, North Carolina",Greenville
"Polk County, North Carolina",Columbus
"Randolph County, North Carolina",Asheboro
"Richmond County, North Carolina",Rockingham
"Robeson County, North Carolina",Lumberton
"Rockingham County, North Carolina",Wentworth
"Rowan County, North Carolina",Salisbury
"Rutherford County, North Carolina",Rutherfordton
"Sampson County, North Carolina",Clinton
"Scotland County, North Carolina",Laurinburg
"Stanly County, North Carolina",Albemarle
"Stokes County, North Carolina",Danbury
"Surry County, North Carolina",Dobson
"Swain County, North Carolina",Bryson City
"Transylvania County, North Carolina",Brevard
"Tyrrell County, North Carolina",Columbia
"Union County, North Carolina",Monroe
"Vance County, North Carolina",Henderson
"Wake County, North Carolina",Raleigh
"Warren County, North Carolina",Warrenton
"Washington County, North Carolina",Plymouth
"Watauga County, North Carolina",Boone
"Wayne County, North Carolina",Goldsboro
"Wilkes County, North Carolina",Wilkesboro
"Wilson County, North Carolina",Wilson
"Yadkin County, North Carolina",Yadkinville
"Yancey County, North Carolina",Burnsville